height,weight
173.5,62.3
169.0,65.5
174.5,68.1
180.7,68.3
168.4,66.6
168.4,69.4
181.1,81.9
175.4,71.0
166.7,68.0
173.8,69.1
166.8,57.1
166.7,66.5
171.7,69.0
156.6,75.0
157.9,62.2
166.1,67.9
162.9,65.0
172.2,63.0
163.6,71.2
160.1,67.8
180.3,76.1
168.4,62.8
170.5,75.2
160.0,57.0
166.2,69.4
170.8,79.3
161.9,59.8
172.6,66.2
165.8,66.8
168.0,64.7
165.8,58.6
183.0,73.5
169.9,62.6
162.6,67.4
175.8,65.7
161.5,72.3
171.5,64.7
156.3,60.9
160.7,68.3
171.4,62.4
175.2,71.2
171.2,75.0
169.2,59.6
167.9,68.1
159.7,65.2
165.0,69.9
166.8,60.5
177.4,64.4
172.4,71.6
157.7,64.6
172.3,70.2
167.3,68.7
165.3,62.7
174.3,70.9
177.2,72.3
176.5,67.0
164.1,75.0
167.8,69.5
172.3,63.0
176.8,74.0
166.6,61.8
168.7,71.4
162.3,70.7
161.6,60.5
175.7,75.1
179.5,73.9
169.5,71.9
177.0,80.3
172.5,67.8
165.5,62.4
172.5,64.6
180.8,68.2
169.7,67.5
181.0,74.1
151.7,62.1
175.8,74.5
170.6,68.3
167.9,74.4
170.6,66.9
156.1,76.0
168.5,70.5
172.5,64.7
180.3,66.8
166.4,69.0
164.3,64.6
166.5,70.2
176.4,72.9
172.3,68.6
166.3,62.3
173.6,61.9
170.7,66.0
176.8,75.0
165.1,67.1
167.7,60.9
167.3,67.8
159.8,65.8
172.1,64.4
171.8,69.5
170.0,68.3
168.4,61.6
